categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,subcategory_displaymode2,display_columns,display_rows,display_showlistprice,display_showsaleprice,display_showyousave,display_showdescriptionshort,display_showdescription,display_showstockstatus,display_showavailability,display_featuredproductsonly,subcategory_displaymode2_columns,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,lastmodby,category_graphic_placement,subcategory_displaycolumns,filtercategory,auto_maintained_optioncatid,auto_maintained_optionid,private_section_customers_only,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,custom_metatags_override,alternateurl_opennewwindow,hidden,display_showpoints,vcompareoptout,breadcrumb,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive,category_displaymode_responsive,display_columns_responsive,subcategory_displaymode2_responsive,vendorcategory
100,0,Beauty & Spa Furniture,1,1,,11/8/2017 13:12,6,1,1,3,,,,,,,,,,,100,Beauty Salon Furniture Equipment,"Michele Pelafas, Inc. is a one-stop interior design and manufacturing company for salon interior design and spa interior design. We offer pedicure seating, salon and spa furniture, spa tables, linens, and more. Give your clients luxury, style and comfort.",,Beauty Salon Furniture Equipment,1,,,N,,,N,,,"Salon furniture, salon beauty equipment, pedicure seating, beauty bars, spa tables, spa chairs, retail displays fixtures, shampoo bowls, manicure furniture, styling mirrors",,,,N,N,,N,,0,6,6,3,,
101,0,Exclusive Collections,3,1,,12/25/2016 08:56,6,1,,3,,,,,,,,,,,101,Salon Retail Display Fixture Collections,,,Retail Collections,1,,,N,,,N,,,,,,,N,N,,N,,1,3,6,3,,
102,0,Lifestyle Products,4,1,,12/25/2016 10:51,6,1,,3,,,,,,,,,,,102,,,,,1,,,N,,,N,,,,,,,N,N,,N,,1,3,6,3,,
104,0,,100,H,,9/27/2015 19:05,6,,,3,1,N,N,N,N,N,N,N,N,,104,,,,,1,,,,,,,,,,,,,,,N,,,,3,7,3,,
105,0,,100,S,,5/31/2015 07:56,6,,,,10,N,N,N,N,N,N,N,N,,105,,,Popularity,,1,,,,,,,,,,,,,,,N,,,,3,7,4,,
107,0,Interior Design,,1,,2/17/2018 11:07,,,,,,,,,,,,,,,107,,,,,1,,,N,,,N,,,,,,,N,N,,N,,,3,,3,,
108,0,Portfolio,,,,2/14/2015 08:42,,,,,,,,,,,,,,,108,,,,,1,,,N,,,N,,,,,,,N,N,,N,,,3,,3,,
109,0,Portfolio,,1,,8/19/2017 08:35,,,,,,,,,,,,,,,109,Lookbook Portfolio,,,Lookbook,1,,,N,,,N,,,,,,,N,N,,N,,,3,,3,,
110,107,Our Story,0,,,12/20/2017 14:00,,,,,,,,,,,,,,,107,Michele Pelafas Salon Design | Salon Interior Designer | Salon Design Plans | Salon Furniture | Beauty Salon Equipment,"Beauty salon design and furniture for the fashionable salon by Michele Pelafas. We provide salon interior designs, custom salon furniture and stylish salon equipment. Premier design-build firm with expert salon interior designers for luxury interiors.",,Michele Pelafas Salon Design & Salon Furniture,1,BELOW,,N,,,N,,"<script></script><style>	/* give full-width*/	main > .container {		width: 100%;		padding: 0;	}	main > .container > .row {		margin-left: 0;		margin-right: 0;	}	main > .container > .row .col-lg-10 {		padding: 0;		width: 100%;	}	/* REMOVE SIDEBAR ON LANDING PAGES*/		.category main > .container > .row > .col-md-3 {			display: none;	}        .category main > .container #content_area {           padding: 0;        }</style><div class=""story"">	<div class=""story-hero"">		<div class=""slogan"">			<!-- story-slogan -->			<h1 class=""text-center"">michele pelafas</h1>			<hr/>			<p class=""text-center"">				""I fell in love with the salon design and salon furniture aspect 			of the beauty industry some 20 years ago.  It was my 			calling and is still my passion today.""			</p>		</div>		<!-- HERO BACKGROUND IMAGE -->	</div>	<article class=""story-content"">	<div class=""story-header"">		<div>			<img src=""/v/vspfiles/templates/salondesign/images/Story/storyMichele.jpg""/>		</div>		<div>			<h1>FOUNDER & ARTISTIC DIRECTOR,  MICHELE PELAFAS IS A RESPECTED AND DISTINGUISHED DESIGNER & ENTREPRENEUR WELL-KNOWN FOR HER INSPIRING SPA AND SALON FURNITURE COLLECTIONS & INTERIOR DESIGN PROJECTS FOUND IN HUNDREDS OF SALONS AND SPAS</h1>			<p>				across the US and abroad.  Over her expansive career, Michele has collaborated with many of the industry's leading names and brands and has an extensive portfolio in salon interiors & salon design.  She now has one of the fastest growing reputable brands in the industry pioneered by its namesake.			</p>		</div>	</div>	<div class=""story-body"">		<p>			Her brand encompasses an accomplished team of salon interiors designers specializing in the salon design, salon furniture and development of spas, salons, hotel spas, medical spas, nail spas, retail boutiques, women's wellness, fitness centers and residences with disciplines in space and floor plan design, computer renderings, lighting, 3D illustrations, color, construction details, theme, feasibility, retail, fixture planning and custom salon furniture creations.		</p>		<p>			Her brand also includes salon and spa-inspired décor, furniture, lighting, textiles, bath products, wall coverings and serveware as well as her signature collections of lounge seating, guest chairs, pedicure			chairs, pedicure benches, spa table linens, retail displays and pillows that bare her signature “Blue Label”, synonymous with style, luxury, quality, sophistication and “Made in the USA”.		</p>		<p>			Michele’s combined design studio, salon furniture showroom and manufacturing facility is centrally located near Chicago, Illinois and is where Michele touches every part of her business from sketching and			branding to salon furniture product launches, salon interiors and salon design and over-seeing the smallest of details in sewing, upholstery and wood frame construction, working closely with her fine craftspeople and design			team.  Within this culture, she can easily influence the fundamental building blocks of real and raw design for endless possibilities.		</p>		<p>			These possibilities include bringing spa style to the home so that consumers can experience that feeling of a relaxing destination escape in their everyday with salon design ideas and products			found in hospitality and spa.  Her e-commerce site SpaDecor.com is filled with hand-selected spa-inspired products that were carefully chosen by her and her design team so that consumers			can feel confident with every designer-backed selection that they purchase.  They can also find inspiration, interior salon design advice, trends and tips for creating an at-home spa or spa			environment.		</p>		<p>			As a leader in the spa and beauty industry, Michele has influenced the salon interiors landscape throughout her career with her salon designs and salon furniture, and she continues to shape the salon interiors industry with her			successful brand and products.  Michele is a licensed interior designer with an extensive sales, marketing and corporate background.  She graduated with honors from the Illinois Institute of			Art in Chicago and holds a Bachelor of Fine Arts Degree in interior design.  Michele has been featured in industry trade publications including Salon Today, Day Spa, Nails Inc, American Salon			and American Spa magazines and has been an educational speaker at industry trade shows including The Esthetic Convention, Midwest Beauty Show, Premier Beauty Show and ISSE, Long			Beach, California.		</p>	</div>	</article></div>","salon design, salon designs, salon designer, salon design plans, beauty salon furniture, salon furniture, salon interior design, salon interior designer, hair salon decor, nail salon decor, salon decor ideas, design-build firm, interior designer, interior consultant, salon interior consultant, Michele Pelafas, Michele Pelafas Design, Michele Pelafas Furniture, Michele Pelafas collections, salon planner, salon design consultant, hair salon designer, beauty salon designer",,,,N,N,,N,Interior Design,,3,,3,,
112,107,Design Services,2,,,2/17/2018 11:10,,,,,,,,,,,,,,,107,Beauty & Hair Salon Design & Salon Interiors,"Michele Pelafas, Inc. is a professional salon design company creating luxurious and harmonious salon interiors for hair salon interiors, nail salon interiors, day spas, medical spas including wholesale salon furniture and custom manufacturing",,Hair and Beauty Salon Design & Salon Interiors,1,,,N,,,N,,"<script></script><style>	/* give full-width*/	main > .container {		width: 100%;		padding: 0;	}	main > .container > .row {		margin-left: 0;		margin-right: 0;	}	main > .container > .row .col-lg-10 {		padding: 0;		width: 100%;	}	/* REMOVE SIDEBAR ON LANDING PAGES*/	.category main > .container > .row > .col-md-3 {		display: none;	}                .category main > .container > .row #content_area {              padding: 0;        }</style><div class=""interior"">	<div class=""interior-hero"">		<!-- Background image -->		<div class=""slogan text-center"">			<!-- slogan text -->			<h1>salon design & salon interiors</h1>			<hr/>			<p>				The journey you will take to build a successful hair salon and beauty			interior calls for skill and experience.			</p>		</div>	</div>	<div class=""interior-content"">		<!-- main content -->		<header>		<h1>WITH OUR PROFESSIONAL SALON DESIGN SERVICES, WE OFFER HAIR & BEAUTY SALON INTERIORS WITH CONSULTATION, IMAGINATION, SOLUTIONS AND PRACTICALITY IN EVERY DETAIL FROM FLOOR TO CEILING.</h1> 		</header>		<!-- Two columns in desktop -->		<div class=""interior-body"">			<div class=""interior-left col-md-6"">				<article>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior1Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior1Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior1.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior1.jpg""/>                                 <!-- <img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior1Tablet.jpg/> -->				</picture>				<section>				<h1>Salon Design & Floor plans</h1>				<p>					When it comes to salon interiors, every square inch of space is vital and we make the most of it with an effective salon design layout for flow and functionality.  We are very discerning when it comes to floor plan design because we know space is valuable and space equals revenue.  We have salon design experience to strike the right balance of space allocation, comfort, effortless transitions and efficient utilization while integrating your specific goals and ""wish list"" for your salon interiors project.  We will provide you with solid advice, salon design ideas and well-developed floor plan options that are effective.  We promise...we will care for your real estate!				</p>				<hr/>				</section>				</article>				<article>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px) "" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior2Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior2Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior2.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior2.jpg""/>				</picture>				<section>				<h1>artistic communication</h1>				<p>					We have a talent for drawing.  It is an ability we were born with, perfected over the years and now utilize every day in our career. We know that when it comes to creating salon interiors, communication is ""key"" and illustrations speak 1000 words.  As it may be, we articulate many different languages in salon design to help our clients fully visualize their space.  Illustrations are one of the most effective:  hand drawn, computer-built, napkin sketch - pen, marker or crayon - whatever it takes to help you envision and see your space come to - before it is built.  We can make it real for you!				</p>				<hr/>				</section>				</article>				<article>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px) "" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior3Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior3Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior3.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior3.jpg""/>				</picture>				<section>				<h1>salon lighting design & specification</h1>				<p>					Foot-candles, ballasts, temperature, color-rendering index, florescent, incandescent, halogen, LED, energy efficient, energy code, 3-pole switch...the lighting lingo goes on and on.  We are experts in the technical aspect of salon interiors including lighting as it relates to the creative and functional elements of spa and salon design.  We formulate recommendations that make sense, meet energy codes, save you money and deliver beautiful results.  Our services include every aspect of lighting design and specification.  As they say, lighting is everything and we tend to agree.				</p>				<hr/>				</section>				</article>				<article>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px) "" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior4Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior4Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior4.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior4.jpg""/>				</picture>				<section>				<h1>color analysis & consultation</h1>				<p>					We know that there is more to color than just selecting paint samples for salon interiors.  Color - or absence of color - found in texture, shimmer, contrast, value and light can ""make"" a salon interior, especially in places of transformation, healing and rejuvenation.  Our eyes are trained to see color in ways that most cannot so that every pallet, wall, ceiling and floor is thoughtful, fits your brand and connects your guests to your space.  Found in a beautiful chair, a single piece of art or a luxurious drapery panel - every color matters.  In a world that offers thousands of choices (citron, chartreuse, grey or gray) and where the term ""pop of color"" is over-used; we have color solutions.				</p>				<hr/>				</section>				</article>				<article>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px) "" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior5Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior5Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior5.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/left-Interior5.jpg""/>				</picture>				<section>				<h1> retail & fixture planning</h1>				<p>					Skin care, beauty care, hair care, bath and body, fashion, make-up, professional, promotional is integral to your bottom line.  So is SHOPPING, BROWSING AND BUYING.  We tie these elements together to make up the successful retail environment with results that are attractive, interactive and most importantly effective.  Our salon design team will afford you every opportunity for that ""return on investment"" by integrating brand strategy with strategic floor plan design, creative fixture planning, powerful signage, lighting, color and materials.  The consumer has endless choices, we will give them one:  YOU.				</p>				</section>				</article>			</div>			<div class=""interior-right col-md-6"">				<article>				<p>					Our comprehensive professional salon interior design and strategic planning services include discovery, concept/theme creation, floor plan design, furniture & equipment selection, illustrations, lighting, color and material selection, construction plans and details, elevations, plumbing/electrical/data plans, framing, demolition, soundproofing details, door schedules, reflected ceiling plans, retail and fixture planning, custom furniture design, decor and more.  From reception and lounge areas to boutiques and guest locker rooms, we create harmony and balance through salon design.  Together we can help you accomplish your goals.  					<a class=""interior-link"" href=""http://www.salondesign.luxury/articles.asp?ID=83"">Contact Us</a>				</p>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px) "" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior1Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior1Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior1.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior1.jpg""/>				</picture>				<section>				<h1>EVERY GREAT INTERIOR BEGINS WITH A CONCEPT,  A VISION,  AN IDEA</h1>				<p>					What is yours?  Purposeful?  Imaginative?  We have salon interior design experience to make your plans a reality with a visual presentation that is appealing, relevant and most importantly yours.  With color, illustrations, images, examples and carefully orchestrated blue print, we develop and present the very foundation for your successful project.  A well-developed theme is the schematic footprint for unique salon interiors.  It is the prelude to your story and the necessary first step.   					<a class=""interior-link"" href=""#"">Begin with us.</a>				</p>				</section>				<hr/>				</article>				<article>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px) "" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior2Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior2Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior2.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior2.jpg""/>				</picture>				<section>				<h1>illustrations, 3d imaging & visualization</h1>				<p>					Our 3D Computer Imaging department offers precise, definitive and photo-realistic renderings that bring your salon interior to life with the most accurate images possible.  With this technical service, we take your concepts and build them in computer format so that your can visualize and see your space.  Our talented team of designers has over 10 years of experience in computer generated imagery and salon design experience and all of our work is created ""in house"" for clients across the US and abroad.				</p>				</section>				<hr/>				</article>				<article>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px) "" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior3Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior3Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior3.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior3.jpg""/>				</picture>				<section>				<h1>construction documents </h1>				<p>					Once the design concept is approved, we document the details in a comprehensive set of construction blueprint drawings for implementation.  This may include but is not limited to framing plans, demolition plans, elevation and section drawings, plumbing details, electrical specifications, communication and data plans.				</p>				</section>				<hr/>				</article>				<article>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px) "" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior4Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior4Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior4.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior4.jpg""/>				</picture>				<section>				<h1>graphics & signage </h1>				<p>					Beautiful graphics and spot-on signage will engage and speak to your guests when it matters and where it matters.  A statement, a symbol or just a word can communicate volumes and our creative team can help you do just that.  From a unique logo and image to a powerful light box or video wall, we have the experience, technical skills and resources to integrate those special details that will take your space to the next level.  Whether you want to draw attention to your retail, promote a new service or simply invite your guests to relax, our graphic design department can put the icing on your cake.  Chocolate fudge and butter cream, anyone?!  Endulge.				</p>				</section>				<hr/>				</article>				<article>				<picture>				<source media=""(min-width: 320px) and (max-width: 420px) "" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior5Mobile.jpg"">				<source media=""(min-width: 426px) and (max-width: 991px)"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior5Tablet.jpg"">				<source srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior5.jpg"">				<!-- FALLBACK -->				<img class=""img-responsive"" srcset=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior5.jpg""/>				</picture>				<!-- <img class=""img-responsive"" src=""/v/vspfiles/templates/salondesign/images/Interior/right-Interior5.jpg"" / / / / / / / / / / / / /> -->				<section>				<h1>Salon furniture & equipment selection </h1>				<p>					We select and specify salon furniture, beauty equipment and salon decor to fit your brand budget and style.  From custom-made options to ready to ship stock fixtures we have hundreds of options including make-up, styling chairs, styling stations, reception desks, retail displays, pedicure seating, lounge chairs, lighting, linens and spa tables.				</p>				</section>				</article>			</div>		</div>		<footer>		<hr/>	<div class=""category-seo""><h1>Salon Interior Design Services</h1><p>From start to finish, Michele Pelafas, Inc. handles every aspect of beauty and hair salon interior design. A lot of work goes into designing successful salon interiors, and our talented team works diligently to ensure that your vision comes to life.</p><p>From initial consultation to construction planning and plumbing and electrical plans, Michele Pelafas, Inc.'s salon design services are detailed and comprehensive. We work closely with our clients to achieve luxury salon designs that impress. In an industry that's all about beauty, shouldn't your salon or spa look picture-perfect? By hiring us, you can rest assured of exquisite results.</p></div>		</footer>	</div></div>","salon design, salon interiors, salon floor plans, salon lighting, salon design and build, Michele Pelafas Design, Michele Pelafas Furniture, salon furniture, custom salon furniture, salon design ideas, salon decor, hair salon decor, nail salon design, nail salon interiors, hair salon interiors, beauty salon interiors",,,,N,N,,N,Interior Design,,3,,3,,
