productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,lastmodby,ischildofproductcode,ischildofproductcode_productid,options_cloned_from_productid,photos_cloned_from_productid,share_stockstatus_with_productid,productpopularity,homepage_section,autodropship,donotallowbackorders,warehouselocation,warehouseaisle,warehousebin,warehousecustom,upc_code,productkeywords,productnameshort,productweight,freeshippingitem,minqty,maxqty,recurringstartprice,recurringstartduration,recurringprice,recurringhowoften,recurringduration,allowpriceedit,productprice,listprice,saleprice,taxableproduct,selectedoptionids,giftwrapcost,downloadfile,availability,metatag_title,metatag_description,discountedprice_level1,discountedprice_level2,discountedprice_level3,discountedprice_level4,discountedprice_level5,photo_subtext,photo_alttext,discountedrecurringprice_level1,discountedrecurringprice_level2,discountedrecurringprice_level3,discountedrecurringprice_level4,discountedrecurringprice_level5,fixed_shippingcost,fixed_shippingcost_outside_localregion,uses_product_keytypes,price_subtext,price_subtext_short,listprice_name,productprice_name,saleprice_name,hide_yousave,hide_freeaccessories,setupcost,setupcost_name,discountedsetupcost_level1,discountedsetupcost_level2,discountedsetupcost_level3,discountedsetupcost_level4,discountedsetupcost_level5,setupcost_title,stockreorderqty,warehouses,affiliate_commissionable_value,addtocartbtn_replacement_text,book_isbn,productcondition,estship_ground,estship_2ndday,estship_overnight,customfield1,customfield2,customfield3,customfield4,customfield5,shoppingdotcom_category,yahoo_category,yahoo_medium,productmanufacturer,hide_when_outofstock,stocklowqtyalarm,addtopo_now,lastpo_qty,lastpo_date,howtogetsaleprice,inv_verify_qtyonhand,inv_lastverified,enablemultichildaddtocart,vendor_price,enableoptions_inventorycontrol,photourl_small,photourl_large,private_section_customers_only,quickbooks_item_accnt,quickbooks_item_assetaccnt,quickbooks_item_cogsaccnt,vat_percentage,recurring_pricing_text,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription,productfeatures,techspecs,extinfo,orderfinished_note,metatag_keywords,productdescription_abovepricing,custom_metatags_override,ean,google_product_category,google_size,google_color,google_gender,google_age_group,google_availability,google_pattern,google_material,estdaystoship,google_unique_identifier_exists,google_adult_product,google_sizetype,google_sizesystem,nonshippable,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,createddate,mpn,categoryids,optionids,accessories,freeaccessories,producturl,photourl,categorytree,numproductssharingstock,photoseed
GCCR009CA,,Crazy Diamond Fume Reception Desk,,,,,6/22/2015 10:21,,,,,,,,,,,,N,N,,,,,,"reception desk, modern reception desk, desk, reception",,500,N,,,,,,,,N,5978,,,,,,,Usually Ships in 6 to 8 Weeks,Crazy Diamond Fume Reception Desk,Crazy Diamond Fume Reception Desk,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,,,N,,,,,,N,4184.6,N,,,,,,,,,,,,,N,,N,N,,,"Reception desk with illumination and fumé crystals.  Made in Italy.Dimensions200 x 60 x 90 H(78.7'' x 23.6'' x 35.4'' H) Lead times may vary, please contact us for more information.",,,,,"reception desk, modern reception desk, desk, reception",,,,Business & Industrial>Retail,,,,,,,,,FALSE,FALSE,,,,,,,,,,,"265,306",,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GCCR009CA,http://www.salondesign.luxury/v/vspfiles/photos/GCCR009CA-1.jpg,Reception & Waiting,0,1434978950
GFE0060CA,,Madame De Pompadour Reception Desk,,,,,6/22/2015 10:21,,,,,,,,,,,,N,N,,,,,,"reception desk, modern reception desk, desk, reception",,500,N,,,,,,,,N,6802,,,,,,,Usually Ships in 6 to 8 Weeks,Madame De Pompadour Reception Desk,Madame De Pompadour Reception Desk,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,,,N,,,,,,N,4761.4,N,,,,,,,,,,,,,N,,N,N,,,"Reception desk with capitonné front.Dimensions204 x 68 x 106 H(80.3'' W x 26.8'' D x 41.7'' H)Lead times may vary, please contact us for more information.",,,,,"reception desk, modern reception desk, desk, reception",,,,Business & Industrial>Retail,,,,,,,,,FALSE,FALSE,,,,,,,,,,,"265,306",,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GFE0060CA,http://www.salondesign.luxury/v/vspfiles/photos/GFE0060CA-1.jpg,Reception & Waiting,0,1434979190
LM-BS-JY-PN CH+W,BS-JY-PN CH+W,Pino Bar Stool,,,,,,,,,,,,,,,,,Y,,,,,,,,,27,N,,,,,,,,,130,195,,,,,,In Stock,Pino Bar Stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,91,,,,,,,,,,,,,,,,,,,,"Featuring a sleek bent wood back and leatherette seating, the Pino Bar Stool is the epitome of elegance. Hydraulics with 360º turn allow for easy height adjustment.  Cherry wood with white upholstery.  Product Size: 19'' L x 18.5'' W x 37'' - 42'' HSeat Width: 19.8''Seat Depth: 19''Seat Height: 27'' - 32''",,,,,"pino bar stool, pino, barstool, lumisource, 360 swivel, cherry, white, leatherette, chrome, curved wood, hydraulic bar stool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LM-BS-JY-PN CH+W,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
LM-BS-JY-PN ZB+BN,BS-JY-PN ZB+BN,Pino Bar Stool,,,,,,,,,,,,,,,,,Y,,,,,,,,,27,N,,,,,,,,,130,195,,,,,,In Stock,Pino Bar Stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,91,,,,,,,,,,,,,,,,,,,,"Featuring a sleek bent wood back and leatherette seating, the Pino Bar Stool is the epitome of elegance. Hydraulics with 360º turn allow for easy height adjustment. Zebra Wood with Black Upholstery.   Product Size: 19'' L x 18.5'' W x 37'' - 42'' HSeat Width: 19.8''Seat Depth: 19''Seat Height: 27'' - 32''",,,,,"pino bar stool, pino, barstool, lumisource, 360 swivel, zebra, brown, leatherette, chrome, curved wood, hydraulic bar stool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LM-BS-JY-PN ZB+BN,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
LM-BS-JY-PRS CH+BN,BS-JY-PRS CH+BN,Presta Bar Stool,,,,,,,,,,,,,,,,,Y,,,,,,,,,28,N,,,,,,,,,130,195,,,,,,In Stock,Presta Bar Stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,91,,,,,,,,,,,,,,,,,,,,"The sleek and elegant design of the Presta Bar Stool will add sophistication to your home or bar. The leatherette seat and backrest, beautiful wood accents, as well as a polished chrome finish on the footrest and base complete the look. With the added feature of a hydraulic lift to adjust the seat height and 360° swivel, you may never want to get up!  Available in Wenge Wood and Black upholstery, or cherry wood with brown upholstery. Product Size: 17'' L x 17'' W x 33'' - 43'' HSeat Height: 22'' - 33''",,,,,"presta bar stool, presta, barstool, lumisource, 360 swivel, cherry, brown, leatherette, chrome, curved wood, hydraulic bar stool",,,,,,,,,,,,,,,,,,,,,,,,,,"115,117,121",,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LM-BS-JY-PRS CH+BN,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
LM-BS-JY-VIERA WNG,BS-JY-VIERA WNG,Viera Bar Stool,,,,,,,,,,,,,,,,,Y,,,,,,,,,21,N,,,,,,,,,125,187.5,,,,,,In Stock,Viera Bar Stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,87.5,,,,,,,,,,,,,,,,,,,,"While the padded leatherette cushion provides abundant comfort, the slotted bent wood design of the Viera Bar Stool is a perfect fit with retro modern decor. Features a chrome base with footrest, 360° swivel, and adjustable height hydraulics.   Available in wenge wood with white upholstery or walnut with black upholstery.  Product Size: 19'' L x 20.5'' W x 34.5'' - 42'' HSeat Height: 24'' - 31.5''",,,,,"viera bar stool, viera, barstool, lumisource, 360 swivel, wenge, white, leatherette, chrome, curved wood, hydraulic bar stool",,,,,,,,,,,,,,,,,,,,,,,,,,"117,122",,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LM-BS-JY-VIERA WNG,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
LM-BS-SURF,BS-SURF,Surf Bar Stool,,,,,,,,,,,,,,,,,Y,,,,,,,,,21,N,,,,,,,,,105,157.5,,,,,,In Stock,Surf Bar Stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,73.5,,,,,,,,,,,,,,,,,,,," A  gentle wave in the wood seat creates inviting curves and comfort in the Surf Bar Stool. Seat height is adjustable from 23”-32” with easy to use hydraulics. Polished chrome pole, base, and footrest.  Available in white, espresso, black, green, red, & yellow.  Product Size: 16'' W x 16'' L x 27'' - 36'' HSeat Height: 23'' - 32''",,,,,"surf bar stool, surf, barstool, lumisource, 360 swivel, curved wood, chrome, hydraulic bar stool, black",,,,,,,,,,,,,,,,,,,,,,,,,,"113,114,115,116,123",,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LM-BS-SURF,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
LM-BS-TW-LOCUST BK,BS-TW-LOCUST BK,Locust Bar Stool,,,,,,,,,,,,,,,,,Y,,,,,,,,,27,N,,,,,,,,,150,225,,,,,,In Stock,Locust Bar Stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,105,,,,,,,,,,,,,,,,,,,,"The Locust Bar Stool is made for comfort! The soft, yet sturdy leatherette cushions, made with molded foam for extra padded support, will entice you and your guests every time! With a smooth hydraulic system that adjusts from counter to bar height, swivel seating, and a trendy, square chrome footrest and base, you’re sure to impress time and time again.  Color:  Black    Product Size: 20'' L x 16.75'' W x 37'' to 45.5'' HSeat Height: 24'' - 32''",,,,,"locust bar stool, locust, barstool, lumisource, 360 swivel, leatherette, molded foam cushions, chrome, hydraulic bar stool, black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LM-BS-TW-LOCUST BK,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
LM-BS-TW-LOCUST W,BS-TW-LOCUST W,Locust Bar Stool,,,,,,,,,,,,,,,,,Y,,,,,,,,,27,N,,,,,,,,,150,225,,,,,,In Stock,Locust Bar Stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,105,,,,,,,,,,,,,,,,,,,,"The Locust Bar Stool is made for comfort! The soft, yet sturdy leatherette cushions, made with molded foam for extra padded support, will entice you and your guests every time! With a smooth hydraulic system that adjusts from counter to bar height, swivel seating, and a trendy, square chrome footrest and base, you’re sure to impress time and time again.  Color:  White    Product Size: 20'' L x 16.75'' W x 37'' to 45.5'' HSeat Height: 24'' - 32''",,,,,"locust bar stool, locust, barstool, lumisource, 360 swivel, leatherette, molded foam cushions, chrome, hydraulic bar stool, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LM-BS-TW-LOCUST W,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
LM-LS-LED CAPL TB,LS-LED CAPL TB,Capello LED Table Lamp,,,,,,,,,,,,,,,,,Y,,,,,,,,,7,N,,,,,,,,,100,150,,,,,,In Stock,Capello LED Table Lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,70,,,,,,,,,,,,,,,,,,,,"A lovely bit of modern design, the Capello provides directable LED lighting in an attractive form. The Capello LED Table Lamp  features  1 x 5W hi-power LED while the Floor Lamp features 1 x 8W super bright hi-power LED. Touch the ON/OFF  switch on its “cap.”  Product Size: 14.25'' L x 13'' D x 20'' H ",,,,,Table Lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LM-LS-LED CAPL TB,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
LM-LS-LED-FOCUS BK,LS-LED-FOCUS BK,Focus Table Lamp,,,,,,,,,,,,,,,,,Y,,,,,,,,,3,N,,,,,,,,,40,60,,,,,,In Stock,Focus Table Lamp,Feel like part of the future with this unique lamp.  Round fixture and sleek base make the Focus Table Lamp fit in with almost any décor.   300 Lumen (In). Product Size: 7.25'' D x 18.5'' H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,28,,,,,,,,,,,,,,,,,,,,Feel like part of the future with this unique lamp.  Round fixture and sleek base make the Focus Table Lamp fit in with almost any décor.   300 Lumen (In). Product Size: 7.25'' D x 18.5'' H,,,,,task lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LM-LS-LED-FOCUS BK,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
LS-LED-FOCUS W,LS-LED-FOCUS W,Focus Table Lamp,,,,,,,,,,,,,,,,,Y,,,,,,,,,3,N,,,,,,,,,40,60,,,,,,In Stock,Focus Table Lamp,Feel like part of the future with this unique lamp.  Round fixture and sleek base make the Focus Table Lamp fit in with almost any décor.   300 Lumen (In).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LumiSource,,,Y,,,,,,,28,,,,,,,,,,,,,,,,,,,,Feel like part of the future with this unique lamp.  Round fixture and sleek base make the Focus Table Lamp fit in with almost any décor.   300 Lumen (In).,,,,,task lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=LS-LED-FOCUS W,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
